Ranking,Freq.,Characters,Syllable,Words(Explanation) / Remarks
3012,107,豹,paau3,"豹子, 管中窺豹"
3013,107,赦,se3,"赦免, 赦罪, 特赦"
3014,107,邑,jap1,"采邑, 都邑, 通都大邑"
3015,107,闢,pik1,"闢建, 闢地, 闢謠, 闢劃, 獨闢蹊徑"
3016,107,駿,zeon3,"駿逸, 駿馬, 駿駒, 神采駿發"
3017,106,凳,dang3,"凳子, 板凳"
3018,106,喧,hyun1,"喧嘩, 喧賓奪主, 鑼鼓喧天, 喧鬧, 喧囂, 喧嚷, 喧擾"
3019,106,媚,mei4,「媚mei6」的異讀字
3019,106,媚,mei6,"媚世, 媚外, 媚行, 媚笑, 媚惑, 媚態, 媚顏, 嫵媚, 獻媚"
3020,106,挾,gaap3,挾帶(同夾帶)
3020,106,挾,haap6,「挾hip6」的異讀字
3020,106,挾,hip3,「挾hip6」的異讀字
3020,106,挾,hip6,"挾持, 要挾, 挾恨, 挾制, 挾勢凌人, 挾嫌報復, 裹挾"
3021,106,晤,ng6,"晤面, 晤談, 晤見, 會晤"
3022,106,睹,dou2,"目睹, 睹物思人, 視若無睹, 慘不忍睹, 有目共睹"
3023,106,籲,joek6,「籲jyu6」的異讀字
3023,106,籲,jyu6,"籲請, 呼籲, 籲天, 籲求"
3024,106,舵,taai5,「舵to4」的異讀字
3024,106,舵,to4,"舵手, 掌舵"
3024,106,舵,to5,「舵to4」的異讀字
3025,106,隘,aai3,"隘口, 險隘, 關隘"
3025,106,隘,ngaai3,「隘aai3」的異讀字
3025,106,隘,ai3,「隘aai3」的異讀字
3025,106,隘,ak1,同「阨」字
3025,106,隘,ngak1,「隘ak1」的異讀字
3026,106,雁,ngaan6,"雁行, 大雁, 鴻雁, 魚雁(書信)"
3027,106,鰓,saai2,憂心的樣子
3027,106,鰓,soi1,"曝鰓龍門, 鰓蝨, 鰓葉"
3028,105,俞,jyu4,俞允姓氏
3028,105,俞,jyu6,「俞jyu4」的異讀字
3028,105,俞,syu3,俞穴
3029,105,嚼,ziu6,倒嚼
3029,105,嚼,zoek3,"嚼舌, 咀嚼, 咬文嚼字, 嚼子, 味同嚼蠟"
3029,105,嚼,zoek6,「嚼zoek3」的異讀字
3030,105,愣,leng1,愣兒
3030,105,愣,ling4,「愣ling6」的異讀字
3030,105,愣,ling6,"愣頭愣腦, 發愣, 愣幹"
3031,105,揪,zau1,"揪出來, 揪住, 不揪不睬"
3032,105,樺,waa4,「樺waa6」的異讀字
3032,105,樺,waa6,"白樺, 黑樺"
3033,105,澧,lai5,湖南省河流名稱
3034,105,蠢,ceon2,"蠢蠢欲動, 蠢動, 蠢才"
3035,104,唆,so1,"唆使, 教唆, 囉唆"
3036,104,噶,gaa1,"噶廈, 噶個點兒, 喀什噶爾"
3036,104,噶,got3,「噶gaa1」的異讀字
3037,104,弛,ci2,"弛禁, 弛緩, 鬆弛, 廢弛"
3037,104,弛,ci4,「弛ci2」的異讀字
3038,104,懈,gaai3,「懈haai6」的異讀字
3038,104,懈,haai5,「懈haai6」的異讀字
3038,104,懈,haai6,"懈弛, 懈沮, 懈怠, 懈氣, 懈惰, 鬆懈, 堅持不懈"
3039,104,澗,gaan2,「澗gaan3」的異讀字
3039,104,澗,gaan3,"溪澗, 山澗"
3040,104,絹,gyun3,"絹帛, 絹本, 絹裱, 絹猴, 絹印, 禾絹, 扃絹, 手絹"
3041,104,薪,san1,"薪酬, 柴薪, 薪火相傳, 薪金, 薪水, 薪餉, 薪俸稅, 抱薪救火"
3042,103,寞,mok6,"寞然, 寂寞, 落寞, 不甘寂寞, 寞天寂地"
3043,103,憎,zang1,"憎恨, 憎惡"
3044,103,戎,jung4,"戎裝, 兵戎, 投筆從戎, 戎馬, 戎機, 蠻夷戎狄"
3045,103,氈,zin1,"氈毯, 氈帽, 毛氈, 如坐針氈"
3046,103,沼,ziu2,"沼氣, 沼澤"
3047,103,眨,zaam2,「眨zaap3」的異讀字，口語讀音
3047,103,眨,zaap3,"眨眼, 眨眼之間"
3048,103,磺,wong4,"硫磺, 硝磺, 磺胺劑"
3049,103,鈕,nau2,(1)同「紐」字 (2)姓氏
3049,103,鈕,nau5,「鈕nau2」的異讀字
3050,103,鑼,lo4,"鑼鼓, 開鑼"
3051,102,傭,cung1,圴等
3051,102,傭,jung2,傭金
3051,102,傭,jung4,"傭工, 僱傭"
3052,102,奢,ce1,"奢求, 奢侈, 奢望, 奢華, 奢靡, 驕奢淫逸"
3052,102,奢,se1,「奢ce1」的異讀字
3053,102,矯,giu2,"矯健, 矯情, 矯枉過正, 矯形, 矯捷, 矯若游龍, 矯揉造作"
3053,102,矯,kiu2,「矯giu2」的異讀字
3054,102,腎,san5,「腎san5」的異讀字
3054,102,腎,san6,"腎臟, 洗腎, 雕肝琢腎, 腎元, 腎炎, 腎虧, 腎上腺, 敗腎, 補腎"
3055,102,薛,sit3,姓氏
3056,101,丞,cing2,通「拯」字
3056,101,丞,sing4,"丞相, 驛丞, 縣丞, 府丞, 扶丞"
3057,101,巍,ngai4,"巍峨, 巍然, 巍巍"
3058,101,橙,caang2,「橙caang4」的異讀字
3058,101,橙,caang4,"橙黃, 橙子, 香橙"
3058,101,橙,dang3,同「凳」字
3059,101,澀,saap3,"澀味, 澀訥, 澀體, 苦澀, 晦澀, 艱澀"
3059,101,澀,sap1,「澀saap3」的異讀字
3059,101,澀,sik1,「澀saap3」的異讀字
3059,101,澀,gip3,「澀saap3」的異讀字
3060,101,疙,gat1,「疙ngat6」的異讀字
3060,101,疙,gat6,「疙ngat6」的異讀字
3060,101,疙,ngat6,"疙搭, 雞皮疙瘩"
3061,101,碌,luk1,"奔波勞碌, 忙碌, 勞碌, 庸碌"
3061,101,碌,luk6,「碌luk1」的異讀字
3062,101,脯,pou2,胸脯一說為「脯fu2」的異讀字
3062,101,脯,pou4,「脯pou2」的異讀字
3062,101,脯,fu2,"杏脯, 鹿脯, 脯醢"
3063,101,蠅,jing4,"蠅虎, 蒼蠅, 蠅頭小利, 蠅蛆病, 果蠅, 如蠅逐臭"
3064,101,髓,seoi5,"骨髓, 精髓"
3065,101,鮑,baau1,(1)人名用字 (2)姓氏
3065,101,鮑,baau6,"鮑魚, 鮑肆"
3066,100,厄,aak1,「厄ak1」的異讀字
3066,100,厄,ak1,"厄難, 困厄, 消災解厄, 厄運, 矜貧救厄"
3066,100,厄,ngak1,「厄ak1」的異讀字
3067,100,嘎,gaa1,"嘎吱, 飯嘎巴, 嘎渣, 嘎調(1)象聲詞 (2)象斷裂聲、笑聲等 "
3067,100,嘎,gaa2,(1)乖僻 (2)調皮
3067,100,嘎,gaa4,嘎嘎兒
3067,100,嘎,gat1,「嘎gaa1」的異讀字
3068,100,宛,wun2,「宛jyun2」的異讀字
3068,100,宛,jyun1,大宛
3068,100,宛,jyun2,"宛如, 宛延, 宛然, 委宛"
3069,100,淤,jyu1,"淤泥, 淤塞, 淤滯"
3069,100,淤,jyu2,「淤jyu1」的異讀字
3069,100,淤,jyu3,「淤jyu1」的異讀字
3070,100,畸,gei1,"畸形, 畸輕, 畸重, 畸人, 畸行, 畸零"
3070,100,畸,kei1,「畸gei1」的異讀字
3071,100,砝,faat3,砝碼
3071,100,砝,fat3,「砝faat3」的異讀字
3072,100,磅,bong6,"過磅, 磅稱"
3072,100,磅,pong4,"磅礡, 磅硠"
3073,100,簇,cuk1,"簇擁, 簇新, 花團錦簇"
3073,100,簇,zuk6,「簇cuk1」的異讀字
3074,100,羥,coeng1,「羥koeng5」的異讀字
3074,100,羥,koeng5,羥基氫氧原子團
3075,100,荔,lai6,荔枝
3076,100,蕾,leoi4,芭蕾舞
3076,100,蕾,leoi5,"花蕾, 蓓蕾"
3077,100,虐,joek6,"虐待, 虐政, 虐殺, 暴虐, 助紂為虐, 虐疾(1)殘害 (2)嚴苛 "
3078,100,逾,jyu4,"逾期, 逾時, 逾越, 逾恆"
3078,100,逾,jyu6,「逾jyu4」的異讀字
3079,99,姊,ze2,「姊zi2」的異讀字
3079,99,姊,zi2,"姊弟, 姊妹"
3080,99,斧,fu2,"斧頭, 斧鑿, 大刀闊斧"
3081,99,烙,lok3,"烙印, 烙餅, 烙鐵"
3081,99,烙,lok6,「烙lok3」的異讀字
3082,99,狄,dik6,"夷狄, 北狄, 蠻夷戎狄"
3083,99,蚜,ngaa4,蚜蟲
3084,98,喳,caa1,「喳zaa1」的異讀字
3084,98,喳,zaa1,象聲詞
3085,98,垠,ngan4,"垠際, 絕垠, 一望無垠, 垠堮"
3086,98,帘,lim4,酒帘
3087,98,斌,ban1,"斌斌, 頒斌"
3088,98,棺,gun1,"棺材, 蓋棺定論"
3088,98,棺,gun3,以棺殮屍
3089,98,瑣,so2,"瑣碎, 繁瑣, 瑣事, 瑣細, 瑣言"
3090,98,瞞,mun4,"瞞騙, 隱瞞, 瞞天過海, 掩瞞, 欺上瞞下"
3091,98,筏,fat6,"木筏, 排筏"
3092,98,騾,leoi4,「騾lo4」的異讀字
3092,98,騾,lo4,驢和馬交配所的雜種
3093,98,鴕,to4,"鴕鳥, 鷸鴕"
3094,97,囚,cau4,"囚禁, 囚犯, 囚房, 囚牢, 囚車"
3095,97,惰,do6,"惰性, 懶惰, 怠惰"
3096,97,昧,mui6,"昧旦, 愚昧, 昧心"
3097,97,殳,syu4,(1)一種兵器 (2)姓氏
3098,97,爍,lik1,「爍soek3」的異讀字
3098,97,爍,soek3,"閃爍, 爍金, 爍亮, 爍石流金, 閃爍其詞"
3098,97,爍,lok6,爆爍
3099,97,祇,kei4,"祇悔, 土祇, 地祇, 神祇, 靈祇"
3099,97,祇,zi2,同「只」字
3100,97,窒,zat6,"窒礙, 窒息"
3101,96,僻,pik1,"僻靜, 僻遠, 僻壤, 僻巷"
3101,96,僻,bui6,「僻pik1」的異讀字
3102,96,啼,tai4,"啼笑皆非, 哭哭啼啼, 虎嘯猿啼, 啼叫"
3103,96,坤,kwan1,"坤伶, 乾坤, 坤宅, 坤造(女子的八字)(1)易經卦名 (2)女性的代稱 "
3104,96,婷,ting4,"娉婷, 婷婷玉立"
3105,96,怯,hip3,"怯懦, 怯場, 膽怯"
3106,96,晌,hoeng2,晌午
3107,96,楣,mei4,門框上邊的橫木
3108,96,鎊,bong6,"金鎊, 英鎊"
3109,96,黔,kim4,"黔首, 黔驢之技, 黔驢技窮"
3110,95,丫,aa1,"丫鬟, 枝丫"
3110,95,丫,ngaa1,「丫aa1」的異讀字
3111,95,崧,sung1,同「嵩」字
3112,95,怔,zing1,"怔忡, 楞怔"
3113,95,晾,long6,"晾乾, 晾曬"
3114,95,棘,gik1,"棘手, 荊棘, 披荊斬棘"
3114,95,棘,kik1,「棘gik1」的異讀字
3115,95,泮,pun3,"冰泮, 泮宮(古代諸侯所設的學校)"
3116,95,溯,sou3,"溯源, 追溯, 上溯"
3117,95,瀉,se2,「瀉se3」的異讀字
3117,95,瀉,se3,"瀉藥, 傾瀉, 一瀉千里, 瀉肚, 腹瀉, 滿瀉, 崩瀉, 銀河倒瀉"
3118,95,睦,muk6,"睦鄰, 敦睦, 和睦"
3119,95,窺,kwai1,"窺伺, 窺見, 窺測, 窺探, 管中窺豹, 管窺之見, 坐不窺堂, 以管窺天"
3120,95,蜡,caa3,「蜡zaa3」的異讀字
3120,95,蜡,zaa3,"蜡祭, 大蜡, 蜡月(陰曆十二月)周朝祭萬物的禮儀"
3120,95,蜡,zaa6,「蜡zaa3」的異讀字
3120,95,蜡,laap6,同「蠟」字
3120,95,蜡,cai3,「蜡zaa3」的異讀字
3121,95,陋,lau6,"陋習, 陋規, 陋巷"
3122,94,吶,naap6,"吶喊, 嗩吶"
3122,94,吶,nat6,「吶neot6」的異讀字
3122,94,吶,neot6,同「訥」字
3123,94,噓,heoi1,"噓聲, 噓唏, 噓寒問暖"
3124,94,墩,dan1,「墩deon1」的異讀字
3124,94,墩,dan2,「墩deon1」的異讀字
3124,94,墩,deon1,"墩子, 墩布, 墩打, 墩嘴, 土墩, 橋墩, 門墩, 塔墩(1)沙土堆成的高丘 (2)支撐或墊物的基礎 "
3125,94,悢,loeng6,惆悵
3125,94,悢,long5,懭悢
3126,94,蕕,jau4,薰蕕同器
3127,94,釁,jan3,「釁jan3」的異讀字
3127,94,釁,jan6,"釁兆, 釁浴, 釁鼓, 釁端, 釁鐘, 挑釁"
3128,94,麓,luk1,"山麓, 林麓山腳"
3128,94,麓,luk6,「麓luk1」的異讀字
3129,93,唔,m4,口語用字
3129,93,唔,ng4,「唔m4」的異讀字
3130,93,嗜,si3,"嗜好, 嗜酒"
3131,93,墜,zeoi6,"天花亂墜, 墜落, 耳墜子, 下墜, 墜毀, 墜機, 墜地, 搖搖欲墜"
3132,93,孰,suk6,"孰知, 孰料"
3133,93,屜,tai3,抽屜
3134,93,慾,juk6,"慾火, 情慾, 利慾薰心, 慾望, 慾念, 食慾, 慾海, 慾令智昏"
3135,93,旭,juk1,"旭日, 旭日初升"
3136,93,梆,bong1,"梆子, 梆笛, 梆鼓, 木梆"
3137,93,瑟,sat1,"瑟縮, 琴瑟和諧, 瑟瑟風聲"
3138,93,眯,mai4,「眯mei1」的異讀字
3138,93,眯,mai5,眯目(物入目中而眼不能睜)
3138,93,眯,mei1,粵語用字，意指「眼睛微閉」
3138,93,眯,mi1,「眯mei1」的異讀字
3139,93,臧,cong4,通「藏」字
3139,93,臧,zong1,"臧否, 臧獲, 臧穀亡羊"
3139,93,臧,zong6,通「藏」字
3140,93,菇,gu1,"冬菇, 蘑菇"
3141,93,饁,jip3,送飯給在田裡工作的人吃
3141,93,饁,jip6,「饁jip3」的異讀字
3142,92,剔,tai3,(1)同「剃」字 (2)同「鬄」字
3142,92,剔,tik1,"挑剔, 剔除"
3143,92,寢,cam2,"寢室, 寢具, 寢食不安, 就寢"
3144,92,峨,ngo4,"峨冠, 巍峨, 峨嵋山"
3145,92,炔,gai3,姓氏
3145,92,炔,kyut3,"乙炔, 炔烴"
3146,92,熾,ci3,"熾烈, 熾熱, 熾盛"
3147,92,琤,caang1,「琤zaang1」的異讀字
3147,92,琤,zaang1,(1)玉器相擊聲 (2)琴聲 (3)水流聲
3147,92,琤,zang1,「琤zaang1」的異讀字
3148,92,瑾,gan2,"瑾瑜, 懷瑾握瑜美玉"
3148,92,瑾,gan6,「瑾gan2」的異讀字
3149,92,簾,lim4,"簾幕, 窗簾"
3150,92,肋,laak6,「肋lak6」的異讀字
3150,92,肋,lak6,"肋骨, 雞肋, 兩肋插刀, 肋膜, 肋筋, 左肋, 右肋"
3151,92,肘,zaau2,「肘zau2」的異讀字
3151,92,肘,zau2,"肘窩, 變生肘腋, 捉襟見肘, 肘行膝步, 網球肘"
3152,92,臺,toi4,"臺階, 樓臺"
3153,92,蛹,jung2,"蛹期, 蠶蛹"
3153,92,蛹,jung5,「蛹jung2」的異讀字
3154,92,鞍,on1,"馬鞍, 玉勒雕鞍"
3154,92,鞍,ngon1,「鞍on1」的異讀字
3155,92,鹼,gaan2,"鹼性, 鹼液"
3156,91,嗅,cau3,嗅覺
3156,91,嗅,hung3,「嗅cau3」的異讀字
3157,91,婿,sai3,"夫婿, 女婿, 納婿"
3158,91,孜,zi1,"孜孜, 樂孜孜, 孜孜不倦, 孜孜不息"
3159,91,楞,ling4,同「棱」字
3159,91,楞,ling6,"楞頭楞腦, 發楞"
3160,91,涯,ngaai4,"涯涘, 生涯"
3160,91,涯,ji4,「涯ngaai4」的異讀字
3161,91,癢,joeng5,"痛癢, 技癢, 隔靴搔癢"
3162,91,禎,zing1,"禎祥, 禎符"
3163,91,禪,sim4,"禪心, 禪杖, 禪宗, 禪定, 禪房, 禪林, 禪師, 禪堂, 坐禪, 野狐禪"
3163,91,禪,sin4,「禪sim4」的異讀字
3163,91,禪,sin6,"禪位, 禪讓, 受禪, 封禪"
3164,91,羨,jin4,同「埏」字
3164,91,羨,sin6,"羨慕, 豔羨, 臨淵羨魚, 欣羨, 羨煞旁人"
3165,91,虱,sat1,同「蝨」字
3166,91,醞,wan2,"醞釀, 良醞(美酒), 風流醞藉(1)釀酒 (2)借喻為酒 "
3166,91,醞,wan3,「醞wan2」的異讀字
3166,91,醞,wan5,「醞wan2」的異讀字
3167,90,伎,gei6,伎倆
3167,90,伎,kei4,伎伎(行步舒緩的樣子)
3168,90,宵,siu1,"宵夜, 元宵, 通宵達旦, 宵禁, 宵小, 良宵, 春宵苦短"
3169,90,峭,ciu3,"峭拔, 孤峭, 懸崖峭壁, 陡峭, 巉峭, 風骨峭峻"
3170,90,朴,piu4,「朴pok3」的異讀字，用於姓氏
3170,90,朴,po1,「朴pok3」的異讀字，用於「朴刀」一詞
3170,90,朴,pok3,"朴樹, 厚朴, 朴刀, 抱朴, 朴實"
3171,90,楓,fung1,"楓樹, 楓葉"
3172,90,熹,hei1,"熹微, 熹平"
3173,90,蚊,man1,"蚊子, 瘧蚊, 蚊叮蟲咬"
3173,90,蚊,man4,「蚊man1」的異讀字
3174,90,蝶,dip6,"蝶式, 蝶類, 蝶形"
3175,90,驢,leoi4,"驢車, 驢年馬月, 黔驢技窮"
3175,90,驢,lou4,「驢leoi4」的異讀字
3176,89,丑,cau2,"丑角, 丑時, 小丑, 武丑, 文丑(1)地支的第二位 (2)姓氏 "
3177,89,噬,sai6,"吞噬, 噬臍莫及"
3178,89,夥,fo2,"夥伴, 合夥, 夥計, 夥眾"
3179,89,庇,bei3,"庇護, 庇佑, 庇蔭"
3180,89,杖,zoeng6,"手杖, 拐杖"
3181,89,牡,maau5,"牡牛, 牡丹, 牡馬, 牡蠣, 牝牡, 求牡雄性鳥獸"
3181,89,牡,mau5,「牡mau5」的異讀字
3182,89,稽,kai1,"稽查, 無稽之談, 反唇相稽, 稽古, 稽考, 稽留, 稽程, 稽滯, 稽疑"
3182,89,稽,kai2,稽首
3183,89,蔚,wai3,"蔚藍, 蔚跂, 蔚茹川"
3183,89,蔚,wat1,"蔚州, 蔚結通「鬱」字"
3184,89,逞,cing2,"逞兇, 逞強, 逞威, 逞凶, 逞能, 得逞(1)放縱 (2)展示 "
3185,89,鞠,guk1,"鞠養, 鞠躬, 鞠躬盡瘁, 蹴鞠, 陳師鞠旅, 鞠育, 鞠子(1)養育 (2)姓氏 "
3186,89,餃,gaau2,"餃子, 水餃"
3187,89,馴,ceon4,「馴seon4」的異讀字
3187,89,馴,seon4,"馴良, 馴服, 馴養, 雅馴, 溫馴, 桀敖不馴"
3188,88,吭,hang1,一聲不吭
3188,88,吭,hong4,引吭高歌
3189,88,栩,heoi2,栩栩如生
3190,88,犬,hyun2,"犬齒, 犬牙, 犬儒 (cynic)"
3191,88,皿,ming5,器皿
3192,88,硼,paang1,硼砰
3192,88,硼,pang4,"硼砂, 硼酸"
3193,88,竺,zuk1,"天竺(印度的古稱), 竺學(佛學), 竺經姓氏"
3194,88,羧,so1,羧酸
3195,88,訝,ngaa6,"訝異, 驚訝"
3196,88,詠,wing6,"詠嘆, 吟詠, 歌詠, 詠絮之才"
3197,88,訶,ho1,同「呵」字
3198,88,鞘,saau1,鞭鞘
3198,88,鞘,ciu3,"鞘翅, 刀鞘, 劍鞘, 葉鞘"
3199,87,垢,gau3,污垢
3199,87,垢,hau4,封開(縣名)
3200,87,妖,jiu1,"妖怪, 妖邪, 妖人, 妖魔, 妖魔鬼怪, 妖精, 妖道, 妖異"
3200,87,妖,jiu2,「妖jiu1」的異讀字
3201,87,攫,fok3,"攫取, 攫奪"
3201,87,攫,gwok3,「攫fok3」的異讀字
3202,87,歹,daai2,"歹徒, 歹毒, 不識好歹, 為非作歹, 做好做歹壞事"
3202,87,歹,aat3,「歹daai2」的異讀字
3202,87,歹,ngaat6,二一四部首之一
3203,87,碉,diu1,"碉堡, 碉樓"
3204,87,磕,ham2,「磕hap6」的異讀字
3204,87,磕,hap6,"磕頭, 磕碰"
3204,87,磕,koi3,「磕hap6」的異讀字
3205,87,豁,waa1,同「划」字
3205,87,豁,kut3,"豁達, 豁免, 豁然, 豁出去"
3206,87,鏵,waa1,「鏵waa4」的異讀字
3206,87,鏵,waa4,犁鏵
3207,87,阮,jyun2,「阮jyun5」的異讀字
3207,87,阮,jyun5,"阮咸, 阮囊羞澀"
3208,87,飀,lau4,微風吹動的樣子
3209,86,傀,faai3,"傀儡, 傀儡皇帝, 傀儡政權"
3209,86,傀,gwai1,"傀奇, 傀偉, 傀然"
3210,86,凰,wong4,"鳳凰, 鳳凰木, 鳳求凰"
3211,86,咧,le1,哭哭咧咧
3211,86,咧,le2,「咧lit6」的異讀字
3211,86,咧,le4,咧咧亂談
3211,86,咧,lit6,"咧嘴, 白不呲咧, 齜牙咧嘴"
3212,86,啤,be1,啤酒
3212,86,啤,pei4,「啤be1」的異讀字
3213,86,廙,ji6,恭敬
3213,86,廙,jik6,「廙ji6」的異讀字
3214,86,楷,gaai1,"楷木, 強楷堅勁, 楷樹"
3214,86,楷,kaai2,"楷式, 楷則, 楷書, 楷模, 楷體, 大楷, 小楷, 正楷"
3215,86,渤,but6,渤海
3216,86,熏,fan1,"熏習, 三熏三沐, 利欲熏心, 熏草紙, 熏風, 眾口熏天"
3216,86,熏,fan3,方言用字，意指「中煤氣毒」
3217,86,聾,lung4,"聾啞, 聾子"
3218,86,閔,man5,"閔凶, 閔勉, 閔綿"
3219,85,彝,ji4,"彝族, 彝訓, 彝憲, 彝倫, 秉彝, 鼎彝(1)我國少數民族之一 (2)古代盛酒器具 (3)常道 "
3220,85,斂,lim5,"斂足, 斂財, 斂跡, 收斂, 賦斂, 暴斂"
3220,85,斂,lim6,「斂lim5」的異讀字
3221,85,朔,sok3,"朔日, 朔方"
3222,85,淌,tong2,"淌水, 淌淚"
3223,85,瞻,zim1,"瞻仰, 瞻望, 觀瞻, 高瞻遠矚向上或向前看"
3224,85,禦,jyu6,"禦寒, 禦侮"
3225,85,綴,zeoi3,"綴文, 綴合, 綴綴, 綴輯, 綴玉聯珠, 綴字成句, 點綴"
3225,85,綴,zeoi6,「綴zeoi3」的異讀字
3225,85,綴,zyut3,同「輟」字
3225,85,綴,zyut6,「綴zyut3」的異讀字
3226,85,緞,dyun6,"緞帶, 綵緞, 綾羅綢緞, 錦緞"
3227,85,軒,hin1,"軒輊, 軒昂, 軒然(1)古代一種有篷的車子 (2)車子的通稱 (3)窗子 (4)小房間 "
3228,84,併,bing3,"併吞, 合併, 併發症, 歸併, 併攏"
3228,84,併,bing6,同「並」字
3228,84,併,ping3,「併bing3」的異讀字
3229,84,儡,leoi5,傀儡
3230,84,墮,fai1,同「隳」字
3230,84,墮,do6,"墮馬, 墮胎, 呱呱墮地, 墮落"
3231,84,憓,wai6,同「譓」字
3232,84,抨,paang1,「抨ping1」的異讀字
3232,84,抨,ping1,"抨擊, 抨劾, 抨彈"
3232,84,抨,ping4,「抨ping1」的異讀字
3233,84,摯,zi3,"摯友, 摯愛, 真摯"
3234,84,汀,ding1,「汀ting1」的異讀字
3234,84,汀,ting1,"汀洲, 沙汀, 綠汀"
3235,84,瀆,dau6,通「竇」字
3235,84,瀆,duk6,"瀆神, 瀆職, 褻瀆, 輕瀆, 自瀆(1)輕慢、不敬 (2)小溝 (3)弄污 "
3236,84,稟,lam5,同「廩」字
3236,84,稟,ban2,"稟告, 稟見, 稟帖, 稟受, 稟命, 稟氣, 稟賦, 回稟"
3237,84,筷,faai3,"筷子, 碗筷, 公筷母匙"
3238,84,蒴,sok3,蒴果
3239,84,蟹,haai5,"螃蟹, 蟹螯"
3240,84,詫,caa3,"詫異, 驚詫"
3241,84,赳,dau2,「赳gau2」的異讀字
3241,84,赳,gau2,"赳赳, 赳螑, 雄赳赳"
3242,84,陀,to4,"陀螺, 陀陂傾側､不平貌"
3243,83,峒,dung6,同「洞」字
3243,83,峒,tung4,崆峒
3244,83,紉,jan4,「紉jan6」的異讀字
3244,83,紉,jan6,"紉針, 縫紉, 紉佩, 感紉"
3245,83,蕪,mou4,"蕪雜, 荒蕪, 蕪湖"
3246,83,謁,jit3,"謁見, 拜謁, 謁告, 謁者, 謁刺, 謁舍, 謁急, 謁陵, 謁歸, 進謁(1)名片 (2)稟明 (3)進見 "
3246,83,謁,kit3,「謁jit3」的異讀字
3247,82,券,gyun3,「券hyun3」的異讀字
3247,82,券,hyun3,"獎券, 債券, 穩操勝券"
3248,82,哉,zoi1,"優哉游哉, 烏呼哀哉, 得其所哉"
3249,82,嗚,wu1,"嗚呼, 嗚呼哀哉, 嗚咽, 嗚嗚的"
3250,82,扞,gon2,輾軋
3250,82,扞,hon2,「扞hon6」的異讀字
3250,82,扞,hon6,扞格
3251,82,漓,lei4,"淋漓盡致, 痛快淋漓"
3252,82,碾,nin5,"碾米, 碾子"
3252,82,碾,nin6,「碾nin5」的異讀字
3252,82,碾,zin2,「碾nin5」的異讀字
3253,82,禿,tuk1,"禿頭, 禿髮, 禿子, 禿鷹, 光禿, 禿筆"
3254,82,茸,jung4,"茸茸, 鹿茸(1)草木初生時的嫩苗 (2)細柔貌 "
3254,82,茸,jung5,闒茸
3255,82,蔔,baak6,"蘿蔔, 胡蘿蔔, 花心蘿蔔"
3256,82,跋,bat6,"跋涉, 跋扈, 跋躓, 序跋, 題跋"
3256,82,跋,but6,「跋bat6」的異讀字
3257,82,迂,jyu1,"迂腐, 迂回"
3257,82,迂,jyu4,「迂jyu1」的異讀字
3258,82,銼,co3,"銼刀, 扁銼, 銼削"
3259,82,駝,to4,"駝背, 駝鳥, 駝峰"
3260,81,俠,haap6,"俠客, 豪俠, 武俠"
3260,81,俠,hap6,「俠haap6」的異讀字
3261,81,嘿,mak6,同「默」字
3261,81,嘿,hei1,感嘆詞
3262,81,崎,kei1,"崎嶇, 崎嶇不平"
3262,81,崎,kei4,長崎(日本地名)
3263,81,恫,dung6,"恫喝, 恫嚇"
3263,81,恫,tung1,恫瘝
3264,81,摹,mou4,"摹擬, 摹寫, 臨摹"
3265,81,檬,mung1,「檬mung4」的異讀字
3265,81,檬,mung4,檸檬
3266,81,檸,ling4,「檸ning4」的異讀字
3266,81,檸,ning4,檸檬
3267,81,誅,zyu1,"誅滅, 誅殺, 誅戮, 誅心之論, 天誅地滅, 伏誅"
3268,81,躅,zuk6,"蹢躅, 踟躅, 高躅"
3269,81,醚,mai4,"聚醚, 乙醚"
3270,81,餡,haam2,「餡haam6」的異讀字
3270,81,餡,haam6,"餡餅, 肉餡"
3271,81,魅,mei6,"魅人, 魅力, 魅惑, 鬼魅, 魑魅"
3271,81,魅,mui6,「魅mei6」的異讀字
3272,81,魑,lei4,「魑ci1」的異讀字
3272,81,魑,ci1,"魑魅, 山魑, 魑魅魍魎"
3273,80,伺,si6,「伺zi6」的異讀字
3273,80,伺,zi6,"伺候, 窺伺, 伺機而動, 伺服器, 強敵環伺"
3274,80,唾,to3,"唾液, 唾棄, 唾罵, 唾手可得, 唾面自乾, 拾人唾餘"
3274,80,唾,toe3,「唾to3」的異讀字
3274,80,唾,toe5,「唾to3」的異讀字
3274,80,唾,tou3,「唾to3」的異讀字
3275,80,幢,cong4,"石幢, 幡幢, 人影幢幢"
3275,80,幢,tong4,"經幢, 海幢寺"
3275,80,幢,zong6,量詞
3276,80,戔,zin1,戔戔微少
3277,80,槳,zoeng2,"划槳, 螺旋槳"
3278,80,瑯,long4,琺瑯
3279,80,穫,wok6,"收穫, 秋穫, 一樹百穫"
3279,80,穫,wu6,焦穫
3280,80,箋,zin1,"箋注, 信箋"
3281,80,苓,ling4,茯苓
3282,80,茯,fuk6,"茯苓, 茯神"
3283,80,謎,mai4,"謎團, 啞謎, 猜謎語, 謎面, 謎底, 燈謎, 打謎"
3283,80,謎,mai6,「謎mai4」的異讀字
3284,80,鈦,taai3,鈦合金一種金屬元素，即 Titanium 符號 Ti
3285,80,鋰,lei5,金屬元素
